User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 1, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 1, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 0, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 2, Borrow Date: 2024-11-23, Return Date: 2024-12-07
User ID: 1, Book ID: 1, Borrow Date: 2024-11-23, Return Date: 2024-12-07
